character	code_point	readings	tier	references	details
𦭑	U+26B51	chōng	cns11643	CNS-20260805:10-7C3C	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦭒	U+26B52	pāng	cns11643	CNS-20260805:10-7C3D	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦭓	U+26B53	bǐ	cns11643	CNS-20260805:10-7C3E	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦭔	U+26B54	yǒng	cns11643	CNS-20260805:15-2D33	內政部戶政用字(《CNS 11643》96年公布)
𦭕	U+26B55	chéng	cns11643	CNS-20260805:15-2D35	內政部戶政用字(《CNS 11643》96年公布)
𦭖	U+26B56	jiǎ	cns11643	CNS-20260805:15-2D37	內政部戶政用字(《CNS 11643》96年公布)
𦭗	U+26B57	xiān	cns11643	CNS-20260805:15-2D38	內政部戶政用字(《CNS 11643》96年公布)
𦭘	U+26B58	yuán	cns11643	CNS-20260805:15-2D39	內政部戶政用字(《CNS 11643》96年公布)
𦭙	U+26B59	yǎo	cns11643	CNS-20260805:15-2D3A	內政部戶政用字(《CNS 11643》96年公布)
𦭚	U+26B5A	shí	cns11643	CNS-20260805:15-2D3B	內政部戶政用字(《CNS 11643》96年公布)
𦭛	U+26B5B	qiān	cns11643	CNS-20260805:15-2D3C	內政部戶政用字(《CNS 11643》96年公布)
𦭝	U+26B5D	mò mù	cns11643	CNS-20260805:6-333E	異體國字字表(《CNS 11643》96年公布)
𦭞	U+26B5E	bá pèi fèi	cns11643	CNS-20260805:10-7C3F	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦭠	U+26B60	qiāng qiàng	cns11643	CNS-20260805:10-7C41	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦭣	U+26B63	nǎo	cns11643	CNS-20260805:10-7C43	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦭤	U+26B64	wǎng	cns11643	CNS-20260805:10-7C44	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦭦	U+26B66	mò	cns11643	CNS-20260805:10-7C46	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦭧	U+26B67	mèi huì	cns11643	CNS-20260805:10-7C47	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦭨	U+26B68	yù	cns11643	CNS-20260805:15-2D34	內政部戶政用字(《CNS 11643》96年公布)
𦭪	U+26B6A	zā	cns11643	CNS-20260805:10-7C48	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦭫	U+26B6B	qiāng qiàng	cns11643	CNS-20260805:6-4D68	異體國字字表(《CNS 11643》96年公布)
𦭬	U+26B6C	dài	cns11643	CNS-20260805:15-2A52	內政部戶政用字(《CNS 11643》96年公布)
𦭱	U+26B71	zū	cns11643	CNS-20260805:5-2F78	罕用國字標準字體表(《CNS 11643》96年公布)
𦭽	U+26B7D	sǔn wěi	cns11643	CNS-20260805:6-3B5E	異體國字字表(《CNS 11643》96年公布)
𦭾	U+26B7E	mò mù	cns11643	CNS-20260805:6-3B5F	異體國字字表(《CNS 11643》96年公布)
𦭿	U+26B7F	yé	cns11643	CNS-20260805:5-3025	罕用國字標準字體表(《CNS 11643》96年公布)
𦮀	U+26B80	duì tuò	cns11643	CNS-20260805:6-3B61	異體國字字表(《CNS 11643》96年公布)
𦮂	U+26B82	shī	cns11643	CNS-20260805:4-2F66	異體國字字表(《CNS 11643》96年公布)
𦮄	U+26B84	méng	cns11643	CNS-20260805:6-3B58	異體國字字表(《CNS 11643》96年公布)
𦮇	U+26B87	qī	cns11643	CNS-20260805:6-3B55	異體國字字表(《CNS 11643》96年公布)
𦮈	U+26B88	zhǐ	cns11643	CNS-20260805:5-2F7D	罕用國字標準字體表(《CNS 11643》96年公布)
𦮋	U+26B8B	huāng	cns11643	CNS-20260805:6-3B4F	異體國字字表(《CNS 11643》96年公布)
𦮌	U+26B8C	juān	cns11643	CNS-20260805:6-3B5A	異體國字字表(《CNS 11643》96年公布)
𦮍	U+26B8D	kuǎi kuài	cns11643	CNS-20260805:6-3B5C	異體國字字表(《CNS 11643》96年公布)
𦮎	U+26B8E	gòng	cns11643	CNS-20260805:5-2F7B	罕用國字標準字體表(《CNS 11643》96年公布)
𦮒	U+26B92	qū	cns11643	CNS-20260805:6-3B53	異體國字字表(《CNS 11643》96年公布)
𦮔	U+26B94	hū hǔ	cns11643	CNS-20260805:10-7C49	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦮖	U+26B96	zǐ cǐ	cns11643	CNS-20260805:10-7C4B	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦮗	U+26B97	fá fàn fěng	cns11643	CNS-20260805:10-7C4C	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦮘	U+26B98	réng	cns11643	CNS-20260805:6-3B5D	異體國字字表(《CNS 11643》96年公布)
𦮚	U+26B9A	xīng	cns11643	CNS-20260805:15-3233	內政部戶政用字(《CNS 11643》96年公布)
𦮛	U+26B9B	jiǔ	cns11643	CNS-20260805:15-3235	內政部戶政用字(《CNS 11643》96年公布)
𦮜	U+26B9C	dǒu	cns11643	CNS-20260805:15-3236	內政部戶政用字(《CNS 11643》96年公布)
𦮝	U+26B9D	máng	cns11643	CNS-20260805:15-3237	內政部戶政用字(《CNS 11643》96年公布)
𦮞	U+26B9E	máng	cns11643	CNS-20260805:15-3238	內政部戶政用字(《CNS 11643》96年公布)
𦮟	U+26B9F	yǐ	cns11643	CNS-20260805:15-3239	內政部戶政用字(《CNS 11643》96年公布)
𦮠	U+26BA0	mào	cns11643	CNS-20260805:15-323B	內政部戶政用字(《CNS 11643》96年公布)
𦮡	U+26BA1	gōng	cns11643	CNS-20260805:15-323C	內政部戶政用字(《CNS 11643》96年公布)
𦮢	U+26BA2	dì	cns11643	CNS-20260805:15-323D	內政部戶政用字(《CNS 11643》96年公布)
𦮣	U+26BA3	xū	cns11643	CNS-20260805:15-323F	內政部戶政用字(《CNS 11643》96年公布)
𦮤	U+26BA4	wáng	cns11643	CNS-20260805:15-3240	內政部戶政用字(《CNS 11643》96年公布)
𦮥	U+26BA5	huà	cns11643	CNS-20260805:15-3242	內政部戶政用字(《CNS 11643》96年公布)
𦮧	U+26BA7	fēng	cns11643	CNS-20260805:15-3244	內政部戶政用字(《CNS 11643》96年公布)
𦮨	U+26BA8	jīng	cns11643	CNS-20260805:15-3245	內政部戶政用字(《CNS 11643》96年公布)
𦮩	U+26BA9	zhī	cns11643	CNS-20260805:15-3247	內政部戶政用字(《CNS 11643》96年公布)
𦮪	U+26BAA	fèn	cns11643	CNS-20260805:15-3248	內政部戶政用字(《CNS 11643》96年公布)
𦮫	U+26BAB	wén	cns11643	CNS-20260805:15-3249	內政部戶政用字(《CNS 11643》96年公布)
𦮬	U+26BAC	qín	cns11643	CNS-20260805:15-324A	內政部戶政用字(《CNS 11643》96年公布)
𦮭	U+26BAD	chá	cns11643	CNS-20260805:15-324B	內政部戶政用字(《CNS 11643》96年公布)
𦮰	U+26BB0	bèng pìn liú	cns11643	CNS-20260805:10-7C4D	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦮱	U+26BB1	xué	cns11643	CNS-20260805:10-7C4E	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦮲	U+26BB2	lóng	cns11643	CNS-20260805:10-7C4F	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦮳	U+26BB3	qì	cns11643	CNS-20260805:15-324C	內政部戶政用字(《CNS 11643》96年公布)
𦮴	U+26BB4	huā huá huà	cns11643	CNS-20260805:10-7C50	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦮽	U+26BBD	gù	cns11643	CNS-20260805:4-346E	罕用國字標準字體表(《CNS 11643》96年公布)
𦮿	U+26BBF	qú	cns11643	CNS-20260805:6-4432	異體國字字表(《CNS 11643》96年公布)
𦯁	U+26BC1	dùn	cns11643	CNS-20260805:4-3475	異體國字字表(《CNS 11643》96年公布)
𦯃	U+26BC3	jí	cns11643	CNS-20260805:6-437B	異體國字字表(《CNS 11643》96年公布)
𦯄	U+26BC4	mǎo	cns11643	CNS-20260805:6-4423	異體國字字表(《CNS 11643》96年公布)
𦯆	U+26BC6	mǎo	cns11643	CNS-20260805:6-4379	異體國字字表(《CNS 11643》96年公布)
𦯇	U+26BC7	chōng	cns11643	CNS-20260805:6-4375	異體國字字表(《CNS 11643》96年公布)
𦯊	U+26BCA	jué	cns11643	CNS-20260805:6-4374	異體國字字表(《CNS 11643》96年公布)
𦯋	U+26BCB	zhú	cns11643	CNS-20260805:6-4421	異體國字字表(《CNS 11643》96年公布)
𦯎	U+26BCE	cōng	cns11643	CNS-20260805:6-4436	異體國字字表(《CNS 11643》96年公布)
𦯓	U+26BD3	jū	cns11643	CNS-20260805:6-4D78	異體國字字表(《CNS 11643》96年公布)
𦯔	U+26BD4	tí	cns11643	CNS-20260805:4-345F	罕用國字標準字體表(《CNS 11643》96年公布)
𦯙	U+26BD9	yé	cns11643	CNS-20260805:6-4424	異體國字字表(《CNS 11643》96年公布)
𦯚	U+26BDA	guā	cns11643	CNS-20260805:5-3530	罕用國字標準字體表(《CNS 11643》96年公布)
𦯜	U+26BDC	guān guǎn wān wǎn	cns11643	CNS-20260805:6-4435	異體國字字表(《CNS 11643》96年公布)
𦯝	U+26BDD	niǎo jiāo	cns11643	CNS-20260805:6-442E	異體國字字表(《CNS 11643》96年公布)
𦯞	U+26BDE	bèi	cns11643	CNS-20260805:6-4429	異體國字字表(《CNS 11643》96年公布)
𦯟	U+26BDF	xū	cns11643	CNS-20260805:5-352F	罕用國字標準字體表(《CNS 11643》96年公布)
𦯠	U+26BE0	luàn wàn	cns11643	CNS-20260805:6-4433	異體國字字表(《CNS 11643》96年公布)
𦯡	U+26BE1	jì qí	cns11643	CNS-20260805:6-4378	異體國字字表(《CNS 11643》96年公布)
𦯢	U+26BE2	chuǎn	cns11643	CNS-20260805:6-4427	異體國字字表(《CNS 11643》96年公布)
𦯥	U+26BE5	xuān yí	cns11643	CNS-20260805:6-5732	異體國字字表(《CNS 11643》96年公布)
𦯦	U+26BE6	miǎo	cns11643	CNS-20260805:6-5733	異體國字字表(《CNS 11643》96年公布)
𦯧	U+26BE7	shè yè	cns11643	CNS-20260805:10-7C54	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦯨	U+26BE8	biàn mǎng jiū	cns11643	CNS-20260805:6-4430	異體國字字表(《CNS 11643》96年公布)
𦯩	U+26BE9	suī	cns11643	CNS-20260805:6-4431	異體國字字表(《CNS 11643》96年公布)
𦯮	U+26BEE	máo	cns11643	CNS-20260805:5-3529	罕用國字標準字體表(《CNS 11643》96年公布)
𦯲	U+26BF2	fēn	cns11643	CNS-20260805:6-4439	異體國字字表(《CNS 11643》96年公布)
𦯳	U+26BF3	fēn	cns11643	CNS-20260805:6-443A	異體國字字表(《CNS 11643》96年公布)
𦯴	U+26BF4	yī	cns11643	CNS-20260805:6-437C	異體國字字表(《CNS 11643》96年公布)
𦯵	U+26BF5	guān guǎn wǎn	cns11643	CNS-20260805:10-7C55	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦯶	U+26BF6	méng	cns11643	CNS-20260805:10-7C56	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦯷	U+26BF7	guī wā	cns11643	CNS-20260805:10-7C57	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦯸	U+26BF8	qǐ	cns11643	CNS-20260805:6-437A	異體國字字表(《CNS 11643》96年公布)
𦯹	U+26BF9	qìn	cns11643	CNS-20260805:15-3774	內政部戶政用字(《CNS 11643》96年公布)
𦯻	U+26BFB	wén	cns11643	CNS-20260805:15-3776	內政部戶政用字(《CNS 11643》96年公布)
𦯼	U+26BFC	hǎn	cns11643	CNS-20260805:15-3777	內政部戶政用字(《CNS 11643》96年公布)
𦯽	U+26BFD	suī	cns11643	CNS-20260805:15-3779	內政部戶政用字(《CNS 11643》96年公布)
𦯿	U+26BFF	guān	cns11643	CNS-20260805:15-377C	內政部戶政用字(《CNS 11643》96年公布)
𦰀	U+26C00	màn	cns11643	CNS-20260805:15-377D	內政部戶政用字(《CNS 11643》96年公布)
𦰁	U+26C01	lǐ	cns11643	CNS-20260805:15-377E	內政部戶政用字(《CNS 11643》96年公布)
𦰃	U+26C03	mǎng	cns11643	CNS-20260805:15-3822	內政部戶政用字(《CNS 11643》96年公布)
𦰄	U+26C04	qián	cns11643	CNS-20260805:15-3824	內政部戶政用字(《CNS 11643》96年公布)
𦰅	U+26C05	gǒu	cns11643	CNS-20260805:15-3825	內政部戶政用字(《CNS 11643》96年公布)
𦰆	U+26C06	yíng	cns11643	CNS-20260805:15-3826	內政部戶政用字(《CNS 11643》96年公布)
𦰇	U+26C07	yàn	cns11643	CNS-20260805:15-3827	內政部戶政用字(《CNS 11643》96年公布)
𦰍	U+26C0D	tiáo	cns11643	CNS-20260805:15-382D	內政部戶政用字(《CNS 11643》96年公布)
𦰎	U+26C0E	qiáo	cns11643	CNS-20260805:15-382E	內政部戶政用字(《CNS 11643》96年公布)
𦰐	U+26C10	líng	cns11643	CNS-20260805:15-3830	內政部戶政用字(《CNS 11643》96年公布)
𦰒	U+26C12	dù	cns11643	CNS-20260805:15-3832	內政部戶政用字(《CNS 11643》96年公布)
𦰓	U+26C13	mǔ	cns11643	CNS-20260805:15-3833	內政部戶政用字(《CNS 11643》96年公布)
𦰔	U+26C14	mù	cns11643	CNS-20260805:15-3834	內政部戶政用字(《CNS 11643》96年公布)
𦰕	U+26C15	mù	cns11643	CNS-20260805:15-3835	內政部戶政用字(《CNS 11643》96年公布)
𦰚	U+26C1A	wò	cns11643	CNS-20260805:10-7C58	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦰜	U+26C1C	tā	cns11643	CNS-20260805:10-7C59	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦰝	U+26C1D	biàn	cns11643	CNS-20260805:6-442D	異體國字字表(《CNS 11643》96年公布)
𦰟	U+26C1F	hóng	cns11643	CNS-20260805:10-7C5A	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦰠	U+26C20	yì yà	cns11643	CNS-20260805:10-7C5B	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦰢	U+26C22	chéng yíng yǐng	cns11643	CNS-20260805:10-7C5C	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦰣	U+26C23	lǎn	cns11643	CNS-20260805:10-7C5D	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦰤	U+26C24	gé gǎo hào	cns11643	CNS-20260805:10-7C5E	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦰦	U+26C26	hǎn	cns11643	CNS-20260805:10-7C60	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦰨	U+26C28	chù zōu cuán cóng	cns11643	CNS-20260805:10-7C61	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦰮	U+26C2E	fú	cns11643	CNS-20260805:5-3B62	罕用國字標準字體表(《CNS 11643》96年公布)
𦰵	U+26C35	kuǎi kuài	cns11643	CNS-20260805:6-4E2B	異體國字字表(《CNS 11643》96年公布)
𦰶	U+26C36	gǒu jí	cns11643	CNS-20260805:6-4D70	異體國字字表(《CNS 11643》96年公布)
𦰷	U+26C37	mì	cns11643	CNS-20260805:6-4D6B	異體國字字表(《CNS 11643》96年公布)
𦰻	U+26C3B	shān	cns11643	CNS-20260805:6-4D7B	異體國字字表(《CNS 11643》96年公布)
𦰼	U+26C3C	jí zuó	cns11643	CNS-20260805:6-4D79	異體國字字表(《CNS 11643》96年公布)
𦰿	U+26C3F	duō	cns11643	CNS-20260805:5-3B6B	罕用國字標準字體表(《CNS 11643》96年公布)
𦱄	U+26C44	gū	cns11643	CNS-20260805:4-3A62	罕用國字標準字體表(《CNS 11643》96年公布)
𦱈	U+26C48	mù xù shù	cns11643	CNS-20260805:6-4D69	異體國字字表(《CNS 11643》96年公布)
𦱍	U+26C4D	má	cns11643	CNS-20260805:6-4D7C	異體國字字表(《CNS 11643》96年公布)
𦱎	U+26C4E	shí shì	cns11643	CNS-20260805:6-4E36	異體國字字表(《CNS 11643》96年公布)
𦱏	U+26C4F	mán wàn	cns11643	CNS-20260805:6-4D7D	異體國字字表(《CNS 11643》96年公布)
𦱐	U+26C50	huāng	cns11643	CNS-20260805:6-4E2F	異體國字字表(《CNS 11643》96年公布)
𦱑	U+26C51	xiān	cns11643	CNS-20260805:6-4E30	異體國字字表(《CNS 11643》96年公布)
𦱕	U+26C55	hè	cns11643	CNS-20260805:6-4E23	異體國字字表(《CNS 11643》96年公布)
𦱗	U+26C57	shí shì	cns11643	CNS-20260805:6-4E28	異體國字字表(《CNS 11643》96年公布)
𦱘	U+26C58	bàng páng	cns11643	CNS-20260805:6-4D75	異體國字字表(《CNS 11643》96年公布)
𦱙	U+26C59	niǔ	cns11643	CNS-20260805:6-4E2D	異體國字字表(《CNS 11643》96年公布)
𦱚	U+26C5A	yún	cns11643	CNS-20260805:6-4D74	異體國字字表(《CNS 11643》96年公布)
𦱛	U+26C5B	méng miè	cns11643	CNS-20260805:6-4E22	異體國字字表(《CNS 11643》96年公布)
𦱝	U+26C5D	liè	cns11643	CNS-20260805:10-7C64	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦱟	U+26C5F	méng	cns11643	CNS-20260805:5-3B65	罕用國字標準字體表(《CNS 11643》96年公布)
𦱡	U+26C61	ruò	cns11643	CNS-20260805:6-612D	異體國字字表(《CNS 11643》96年公布)
𦱢	U+26C62	ruò	cns11643	CNS-20260805:6-612E	異體國字字表(《CNS 11643》96年公布)
𦱤	U+26C64	mò mù	cns11643	CNS-20260805:6-4E24	異體國字字表(《CNS 11643》96年公布)
𦱧	U+26C67	hū	cns11643	CNS-20260805:5-492E	罕用國字標準字體表(《CNS 11643》96年公布)
𦱩	U+26C69	jí qì	cns11643	CNS-20260805:6-4E2C	異體國字字表(《CNS 11643》96年公布)
𦱪	U+26C6A	chú	cns11643	CNS-20260805:6-4D77	異體國字字表(《CNS 11643》96年公布)
𦱬	U+26C6C	zàng	cns11643	CNS-20260805:6-4D6D	異體國字字表(《CNS 11643》96年公布)
𦱭	U+26C6D	jiū zàng	cns11643	CNS-20260805:6-4E2A	異體國字字表(《CNS 11643》96年公布)
𦱮	U+26C6E	bǐng	cns11643	CNS-20260805:4-3A6A	異體國字字表(《CNS 11643》96年公布)
𦱯	U+26C6F	nóng	cns11643	CNS-20260805:5-3B60	罕用國字標準字體表(《CNS 11643》96年公布)
𦱳	U+26C73	zī cí	cns11643	CNS-20260805:6-4E38	異體國字字表(《CNS 11643》96年公布)
𦱴	U+26C74	mò mù	cns11643	CNS-20260805:6-612B	異體國字字表(《CNS 11643》96年公布)
𦱶	U+26C76	rě ruò	cns11643	CNS-20260805:6-612F	異體國字字表(《CNS 11643》96年公布)
𦱹	U+26C79	gōng gǒng gòng	cns11643	CNS-20260805:6-6131	異體國字字表(《CNS 11643》96年公布)
𦱺	U+26C7A	sāng sàng	cns11643	CNS-20260805:6-6130	異體國字字表(《CNS 11643》96年公布)
𦱻	U+26C7B	chú	cns11643	CNS-20260805:6-4D6C	異體國字字表(《CNS 11643》96年公布)
𦱽	U+26C7D	zhuō zhuó	cns11643	CNS-20260805:10-7C66	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦱾	U+26C7E	dián diàn	cns11643	CNS-20260805:10-7C67	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦱿	U+26C7F	jí qiè	cns11643	CNS-20260805:10-7C68	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲀	U+26C80	dé	cns11643	CNS-20260805:10-7C69	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲁	U+26C81	juàn	cns11643	CNS-20260805:10-7C6A	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲃	U+26C83	yòu	cns11643	CNS-20260805:6-4C7B	異體國字字表(《CNS 11643》96年公布)
𦲄	U+26C84	qióng	cns11643	CNS-20260805:5-3B58	罕用國字標準字體表(《CNS 11643》96年公布)
𦲅	U+26C85	zhǒu	cns11643	CNS-20260805:6-4D6E	異體國字字表(《CNS 11643》96年公布)
𦲆	U+26C86	gǒu jí	cns11643	CNS-20260805:6-4D71	異體國字字表(《CNS 11643》96年公布)
𦲇	U+26C87	hū wù	cns11643	CNS-20260805:6-4E33	異體國字字表(《CNS 11643》96年公布)
𦲈	U+26C88	jiè	cns11643	CNS-20260805:6-4E39	異體國字字表(《CNS 11643》96年公布)
𦲉	U+26C89	xiè	cns11643	CNS-20260805:15-3E53	內政部戶政用字(《CNS 11643》96年公布)
𦲊	U+26C8A	lú	cns11643	CNS-20260805:15-3E55	內政部戶政用字(《CNS 11643》96年公布)
𦲋	U+26C8B	shùn	cns11643	CNS-20260805:15-3E56	內政部戶政用字(《CNS 11643》96年公布)
𦲌	U+26C8C	tǎn	cns11643	CNS-20260805:15-3E58	內政部戶政用字(《CNS 11643》96年公布)
𦲎	U+26C8E	xì	cns11643	CNS-20260805:15-3E5B	內政部戶政用字(《CNS 11643》96年公布)
𦲏	U+26C8F	fáng	cns11643	CNS-20260805:15-3E5C	內政部戶政用字(《CNS 11643》96年公布)
𦲐	U+26C90	wéi	cns11643	CNS-20260805:15-3E5D	內政部戶政用字(《CNS 11643》96年公布)
𦲑	U+26C91	tián	cns11643	CNS-20260805:15-3E5E	內政部戶政用字(《CNS 11643》96年公布)
𦲒	U+26C92	yá	cns11643	CNS-20260805:15-3E5F	內政部戶政用字(《CNS 11643》96年公布)
𦲓	U+26C93	jié	cns11643	CNS-20260805:15-3E60	內政部戶政用字(《CNS 11643》96年公布)
𦲕	U+26C95	yà	cns11643	CNS-20260805:15-3E63	內政部戶政用字(《CNS 11643》96年公布)
𦲖	U+26C96	qián	cns11643	CNS-20260805:15-3E64	內政部戶政用字(《CNS 11643》96年公布)
𦲘	U+26C98	hòu	cns11643	CNS-20260805:15-3E68	內政部戶政用字(《CNS 11643》96年公布)
𦲚	U+26C9A	zhuàng	cns11643	CNS-20260805:15-3E6A	內政部戶政用字(《CNS 11643》96年公布)
𦲛	U+26C9B	pā	cns11643	CNS-20260805:15-3E6D	內政部戶政用字(《CNS 11643》96年公布)
𦲜	U+26C9C	ruǐ	cns11643	CNS-20260805:15-3E6F	內政部戶政用字(《CNS 11643》96年公布)
𦲝	U+26C9D	mǔ	cns11643	CNS-20260805:15-3E70	內政部戶政用字(《CNS 11643》96年公布)
𦲞	U+26C9E	shēn sān sǎn	cns11643	CNS-20260805:15-3E71	內政部戶政用字(《CNS 11643》96年公布)
𦲟	U+26C9F	zhì	cns11643	CNS-20260805:15-3E72	內政部戶政用字(《CNS 11643》96年公布)
𦲠	U+26CA0	pā	cns11643	CNS-20260805:15-3E74	內政部戶政用字(《CNS 11643》96年公布)
𦲤	U+26CA4	yī	cns11643	CNS-20260805:15-3E78	內政部戶政用字(《CNS 11643》96年公布)
𦲥	U+26CA5	māo	cns11643	CNS-20260805:15-3E79	內政部戶政用字(《CNS 11643》96年公布)
𦲧	U+26CA7	shè	cns11643	CNS-20260805:15-3E7B	內政部戶政用字(《CNS 11643》96年公布)
𦲬	U+26CAC	má	cns11643	CNS-20260805:6-612C	異體國字字表(《CNS 11643》96年公布)
𦲮	U+26CAE	ruì	cns11643	CNS-20260805:10-7C6E	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲲	U+26CB2	hū	cns11643	CNS-20260805:10-7C70	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲴	U+26CB4	yì	cns11643	CNS-20260805:10-7C72	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲵	U+26CB5	jīng	cns11643	CNS-20260805:10-7C73	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲶	U+26CB6	chéng	cns11643	CNS-20260805:15-3E62	內政部戶政用字(《CNS 11643》96年公布)
𦲷	U+26CB7	lì	cns11643	CNS-20260805:15-3E54	內政部戶政用字(《CNS 11643》96年公布)
𦲸	U+26CB8	jiān jiàn qiǎn	cns11643	CNS-20260805:10-7C74	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲹	U+26CB9	tiān tiàn	cns11643	CNS-20260805:10-7C75	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲺	U+26CBA	miǎo	cns11643	CNS-20260805:10-7C76	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲻	U+26CBB	zhǐ	cns11643	CNS-20260805:10-7C77	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲼	U+26CBC	yǐn yìn	cns11643	CNS-20260805:10-7C78	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦲽	U+26CBD	xīn	cns11643	CNS-20260805:15-3E6E	內政部戶政用字(《CNS 11643》96年公布)
𦲾	U+26CBE	bēn bèn	cns11643	CNS-20260805:10-7C79	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦳀	U+26CC0	mèi	cns11643	CNS-20260805:15-3E73	內政部戶政用字(《CNS 11643》96年公布)
𦳂	U+26CC2	tí tì yí	cns11643	CNS-20260805:6-5734	異體國字字表(《CNS 11643》96年公布)
𦳆	U+26CC6	yǎn	cns11643	CNS-20260805:6-573B	異體國字字表(《CNS 11643》96年公布)
𦳉	U+26CC9	suí wéi wěi	cns11643	CNS-20260805:6-5749	異體國字字表(《CNS 11643》96年公布)
𦳍	U+26CCD	hú	cns11643	CNS-20260805:5-4245	罕用國字標準字體表(《CNS 11643》96年公布)
𦳎	U+26CCE	jū	cns11643	CNS-20260805:6-575E	異體國字字表(《CNS 11643》96年公布)
𦳕	U+26CD5	cǎo	cns11643	CNS-20260805:6-5751	異體國字字表(《CNS 11643》96年公布)
𦳖	U+26CD6	yíng	cns11643	CNS-20260805:6-5755	異體國字字表(《CNS 11643》96年公布)
𦳙	U+26CD9	dào	cns11643	CNS-20260805:4-4038	罕用國字標準字體表(《CNS 11643》96年公布)
𦳠	U+26CE0	pō	cns11643	CNS-20260805:4-404D	異體國字字表(《CNS 11643》96年公布)
𦳤	U+26CE4	biāo piǎo	cns11643	CNS-20260805:6-575D	異體國字字表(《CNS 11643》96年公布)
𦳨	U+26CE8	máng hè huò	cns11643	CNS-20260805:6-5765	異體國字字表(《CNS 11643》96年公布)
𦳪	U+26CEA	sūn	cns11643	CNS-20260805:6-5742	異體國字字表(《CNS 11643》96年公布)
𦳯	U+26CEF	shù	cns11643	CNS-20260805:10-7C7B	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦳰	U+26CF0	qū	cns11643	CNS-20260805:6-5738	異體國字字表(《CNS 11643》96年公布)
𦳴	U+26CF4	qiā	cns11643	CNS-20260805:6-5767	異體國字字表(《CNS 11643》96年公布)
𦳵	U+26CF5	zhuó	cns11643	CNS-20260805:5-423D	罕用國字標準字體表(《CNS 11643》96年公布)
𦳼	U+26CFC	rè ruò	cns11643	CNS-20260805:6-573C	異體國字字表(《CNS 11643》96年公布)
𦴁	U+26D01	méng miè	cns11643	CNS-20260805:6-5752	異體國字字表(《CNS 11643》96年公布)
𦴄	U+26D04	mù	cns11643	CNS-20260805:10-7C7D	CJK認同表意文字延伸B(《CNS 11643》96年公布)
𦴅	U+26D05	suī	cns11643	CNS-20260805:6-575C	異體國字字表(《CNS 11643》96年公布)
𦴆	U+26D06	gǒu jí	cns11643	CNS-20260805:6-4E3B	異體國字字表(《CNS 11643》96年公布)
𦴈	U+26D08	rě ruò	cns11643	CNS-20260805:6-5756	異體國字字表(《CNS 11643》96年公布)
𦴏	U+26D0F	bīng	cns11643	CNS-20260805:5-424A	罕用國字標準字體表(《CNS 11643》96年公布)
𦴐	U+26D10	bān	cns11643	CNS-20260805:6-573F	異體國字字表(《CNS 11643》96年公布)
